Date,RTGS_Vol,RTGS_Val,NEFT_Vol,NEFT_Val,AePS_Vol,AePS_Val,UPI_Vol,UPI_Val,IMPS_Vol,IMPS_Val,NACH Credit_Vol,NACH Credit_Val,NACH Debit_Vol,NACH Debit_Val,NETC_Vol,NETC_Val,BBPS_Vol,BBPS_Val,CTS_Vol,CTS_Val,CreditCard_POS_Vol,CreditCard_POS_Val,CreditCard_Ecommerce_Vol,CreditCard_Ecommerce_Val,DebitCard_POS_Vol,DebitCard_POS_Val,DebitCard_Ecommerce_Vol,DebitCard_Ecommerce_Val,PPI_POS_Vol,PPI_POS_Val,PPI_Ecommerce_Vol,PPI_Ecommerce_Val,NFS_ATM_Vol,NFS_ATM_Val,AePS_microATM_Vol,AePS_microATM_Val,Government_Securities_Clearing_Vol,Government_Securities_Clearing_Val,Forex_Clearing_Vol,Forex_Clearing_Val,Rupee_Derivatives_Vol,Rupee_Derivatives_Val,GSC_Holiday,Year,Month,Month_Name,FY
2024-05-01,4.98622,120813.098576906,293.6806,102201.444216712,0.46,14.62,4804.69,81678.5,213.28,24345.87,150.61,7850.83,25.33,3312.31,112.02,195.5,51.59,1405.34,9.23,13543.82,28.56122,1307.7526234000002,34.08108,2616.6312384000003,27.94117,741.4132786,11.53453,430.41397629999994,1.31319,20.0969714,1.34863,69.2871177,113.48,5341.35,33.55,964.3,,,,,,,False,2024,5,May,FY2024-25
2024-05-02,10.5149,751711.932740004,324.56428,165158.967707161,0.46,14.52,4772.01,82795.98,204.71,25648.04,252.98,9547.98,147.54,9794.13,105.22,182.56,55.06,1508.02,24.35,30389.26,40.73795,2008.654071,55.30931,4891.0212012,37.94334,1002.1031335,18.00043,706.0401466000001,1.00947,19.2363269,1.3692699999999998,66.53897789999999,113.56,5457.91,34.51,984.95,0.06679,687220.9310000001,0.121525,351031.89,0.0046,20260.0,False,2024,5,May,FY2024-25
2024-05-03,9.82718,636214.076065535,271.30807,143162.953377877,0.48,14.31,4712.03,77293.8,201.4,24375.3,226.18,10651.990000000002,145.46,9807.99,108.92,188.87,54.77,1530.52,21.32,26369.41,33.05712,1651.0415239,49.44306,4411.6903286,33.05661,869.4165243,15.648980000000002,578.9697815,1.26461,21.087666500000005,1.5563399999999998,81.1094813,111.75,5246.35,33.56,912.92,0.07998,708706.987,0.121815,323366.23,0.00459,20384.0,False,2024,5,May,FY2024-25
2024-05-04,8.04123,209565.41748645,234.01509,93779.849539285,0.49,14.25,4840.87,77618.21,199.11,22662.18,365.47,9935.38,41.92,6242.29,115.18,194.92,53.48,1442.12,20.28,23918.34,30.987060000000003,1405.0742948,27.73034,2216.3794734,29.441319999999997,780.7919241,10.67609,369.1352377,1.42368,23.8279377,1.41154,78.9009736,113.73,5299.58,33.93,892.85,0.00106,9042.57,0.0,0.0,0.0,0.0,False,2024,5,May,FY2024-25
2024-05-05,1.15736,15105.400287038,146.43584,20166.966368733,0.51,12.93,4711.69,61535.54,174.27,15195.3,5.68,285.46000000000004,207.14,22504.52,115.73,193.29,47.81,1239.12,,,31.395079999999997,1327.0002974,35.62965,2380.7335812,27.74883,701.4586977000001,10.83589,329.49093369999997,1.19785,19.1460025,1.1955399999999998,54.7765414,103.06,4328.02,29.9,718.66,,,,,,,False,2024,5,May,FY2024-25
2024-05-06,10.603,764694.328716022,298.68977,142762.206452752,0.56,15.23,4669.94,77012.19,197.46,23780.37,228.64,6995.87,77.05,6398.44,105.46,178.65,58.22,1659.18,24.44,24882.7,52.80688,2573.9016331000003,76.1843,6060.50491,43.93743,1202.9190749999998,20.99235,735.4002432,1.0886900000000002,21.6108007,1.34465,61.8793544,107.54,4908.22,36.31,919.48,0.07767,711663.6410000001,0.127895,341145.24999999994,0.00855,53051.09,False,2024,5,May,FY2024-25
2024-05-07,8.8161,598965.0883415069,296.08029,126660.094539602,0.53,14.5,4544.11,71966.72,188.36,22222.22,169.76,8201.2,91.51,9647.14,102.45,178.56,55.1,1530.84,18.07,20837.42,31.20765,1522.7245602,43.53183,3596.2903619000003,30.34485,783.3531723000001,14.08392,494.59012960000007,1.30113,20.0303996,1.56346,87.3786059,106.27,4837.03,31.56,813.63,0.0866,708801.694,0.126055,286234.74,0.00578,32000.0,False,2024,5,May,FY2024-25
2024-05-08,9.8138,651547.3914350889,269.89306,124779.99163851,0.64,18.03,4741.36,74337.94,196.08,22410.9,120.52,5802.44,46.25,4686.09,104.79,184.07,58.65,1705.28,21.21,24559.36,32.33976,1551.0638703,42.15707,3473.9456076,31.93651,812.8578312,13.83952,477.2848096000001,1.3549300000000002,20.8693958,1.59617,87.3674275,115.82,5329.9,36.84,973.51,0.07552,700748.603,0.08885,236767.43,0.00706,43473.6,False,2024,5,May,FY2024-25
2024-05-09,9.91656,551873.881252361,270.51881,143134.18283878302,0.63,17.78,4711.16,74897.09,195.43,22419.53,122.0,5727.9400000000005,32.4,3909.48,108.78,189.54,56.51,1589.34,21.96,26270.62,33.07282,1609.8401374,41.949659999999994,3299.2090714,32.124089999999995,863.8993618,13.78789,466.2869089,1.3451,20.8556883,1.68356,95.5507084,112.43,5161.74,33.63,893.77,0.07002,686189.198,0.087115,233909.22,0.00316,15085.0,False,2024,5,May,FY2024-25
2024-05-10,9.476,767670.0986453741,291.56535,136391.229900209,0.64,18.09,4740.33,74820.95,191.44,21646.71,86.52,5340.9,165.06,21219.51,115.04,195.98,55.62,1641.44,20.98,23119.17,35.55789,2094.6645037,34.079629999999995,2510.4954829000003,34.01495,1414.5925301,13.10761,418.37157699999995,1.37372,23.8282475,1.35783,70.4441609,115.11,5267.81,33.16,871.21,0.07717,688102.7420000001,0.08406,274324.48000000004,0.00371,23445.0,False,2024,5,May,FY2024-25
2024-05-11,2.6537,30043.134746392,164.76316,31218.765501053003,0.63,18.13,4605.34,64156.46,180.82,17498.37,28.21,1207.88,12.24,1290.01,121.07,199.67,50.59,1299.34,,,32.05646,1350.9191526,38.06859,2294.9231921,28.99807,831.8325759,11.01716,340.0428381,1.36956,21.531212000000004,1.20954,56.0365653,108.23,4865.37,30.75,814.96,,,,,,,False,2024,5,May,FY2024-25
2024-05-12,1.04127,12545.119182668,140.07969,17348.734308297,0.59,15.58,4565.44,51539.62,162.94,11796.53,1.57,147.38,9.12,696.94,118.73,194.99,43.72,963.11,,,30.91415,1213.5979871,31.35308,1395.9123455,26.93717,680.6214408,9.91842,240.96479129999997,1.19188,19.2202301,1.00485,35.2685082,96.17,3908.06,25.45,633.94,,,,,,,False,2024,5,May,FY2024-25
2024-05-13,10.9071,653472.0734338801,282.49897,137908.25762306,0.6,15.79,4368.12,64193.58,177.97,19521.29,56.13,6630.09,34.81,3434.82,107.5,175.46,59.34,1668.21,29.7,30555.83,52.15244,2362.2435705,60.1749,3837.5064994,41.649370000000005,1243.9446438,19.23847,570.1087321,1.04658,19.80918,1.26703,58.438681800000005,97.49,4300.95,29.37,767.72,0.07976,722490.365,0.11502,277825.23,0.00353,19922.4,False,2024,5,May,FY2024-25
2024-05-14,10.59723,644115.00534029,258.73295,121110.044984328,0.64,17.07,4494.89,67457.42,177.6,20307.05,61.64,6249.9,17.13,3285.19,105.84,178.29,56.03,1489.47,26.35,28675.15,30.24625,1276.4558007,35.121700000000004,2312.9913549,29.03057,736.2534543,12.83134,394.0634711,1.32187,21.5814435,1.5847300000000002,92.3957412,101.28,4490.31,30.1,792.61,0.0647,697727.326,0.08486,224315.44,0.0054,33685.0,False,2024,5,May,FY2024-25
2024-05-15,10.11348,645799.0566820811,250.57678,126594.470347268,0.67,17.049999999999997,4611.81,69211.71,183.19,20663.39,169.72,12144.72,121.66,11843.15,109.5,186.24,56.8,1581.4,23.45,25565.12,33.38664,1403.4787618,43.68958,2730.855917,31.00058,778.1703985,14.09483,464.78975539999993,1.43429,24.1748329,1.57509,88.59898129999998,105.22,4568.28,31.36,797.39,0.07627,713485.352,0.08883,281812.4,0.00578,48880.0,False,2024,5,May,FY2024-25
2024-05-16,9.63936,625598.882843175,239.3434,121582.799443695,0.67,17.12,4493.06,65655.99,179.0,19734.02,71.8,6950.15,16.07,2895.46,110.83,192.27,54.81,1435.04,21.41,25274.94,30.68714,1270.0392726,39.71214,2526.2734302999997,28.96196,721.923037,12.85773,416.2065725,1.36056,22.113363900000003,1.65978,96.5371221,98.18,4204.53,30.19,749.18,0.07786,719409.377,0.07213,240312.34000000003,0.00773,34135.0,False,2024,5,May,FY2024-25
2024-05-17,9.48402,736851.126517275,248.95953,127338.226868704,0.63,16.2,4466.52,61499.98,171.63,18280.48,59.08,4402.63,11.12,2604.17,111.45,193.2,51.38,1335.37,19.45,25087.85,34.20658,1400.6943474,39.90727,2787.1153928,31.26595,811.3032847,12.92909,406.0161747,1.3992,20.8996811,1.52622,85.852103,95.33,4039.45,27.34,687.95,0.08893,741055.383,0.093165,258673.46,0.00424,28370.0,False,2024,5,May,FY2024-25
2024-05-18,7.8874,223078.21947758505,214.99618,77615.513793148,0.64,16.19,4475.37,60392.39,169.8,17121.56,196.09,7283.44,13.1,3272.6,122.53,204.15,48.35,1156.18,18.59,21190.3,31.20767,1176.3064178,31.26387,1753.8352061,28.39163,712.6421882999999,10.50358,305.4627841,1.4055,21.2411375,1.59547,92.9411813,97.77,4131.18,25.7,651.83,0.00152,10684.67,0.0,0.0,0.0,0.0,False,2024,5,May,FY2024-25
2024-05-19,1.10932,13299.773093957,135.23906,17095.867981044,0.68,16.65,4421.55,48699.88,159.4,10921.6,1.38,208.09,4.23,341.22,120.68,197.93,40.09,837.0,,,30.802249999999997,1119.8136718,30.81311,1304.2241126999998,25.34278,623.3000153,9.34666,234.0821108,1.21456,20.0977727,1.17344,56.4466593,90.45,3453.73,23.35,577.92,,,,,,,False,2024,5,May,FY2024-25
2024-05-20,8.9357,228464.890488662,212.24018,91340.59775676801,0.68,17.55,4359.16,62677.84,172.89,18470.97,137.51,4177.849999999999,32.73,5107.1,109.12,181.31,52.81,1566.91,18.73,21838.3,25.03027,1019.9493529,30.26684,2065.417223,24.326490000000003,616.6499081000001,9.890870000000001,327.4632866,1.03234,21.6782544,1.10988,57.066661800000006,92.25,3891.8,27.32,713.09,,,,,,,False,2024,5,May,FY2024-25
2024-05-21,9.82313,794997.868079775,258.97423,147839.961316224,0.68,17.31,4429.81,63261.77,173.14,19428.81,78.5,4038.05,43.33,4230.06,108.72,183.66,49.73,1394.66,21.25,25335.66,61.1873,2513.7266621,71.37086,5439.8317021,45.10234,1180.589821,20.50087,628.5431427,1.37473,22.807634,1.34823,65.1580845,90.84,3790.49,26.48,690.12,0.06186,723646.021,0.108535,304717.26,0.0051,34820.0,False,2024,5,May,FY2024-25
2024-05-22,9.70626,716540.5297759131,238.58444,129973.786003737,0.7,17.669999999999998,4485.22,62814.11,172.25,18954.44,125.08,6546.78,32.98,4019.53,111.86,190.7,47.69,1326.79,20.08,23991.78,32.29423,1392.1303003,40.36272,2786.7575548999994,28.87923,735.3290661000002,12.61872,410.4708803,1.39266,21.2131453,1.63324,93.2072044,90.77,3771.0,26.34,672.34,0.07385,742558.694,0.14391,300054.72000000003,0.00722,35135.0,False,2024,5,May,FY2024-25
